title	album
Canthology	Exuvia
Fugadà	Exuvia
Una Voce (Skit)	Exuvia
El Sendero	Exuvia
Campione Dei Novanta	Exuvia
La Matrigna (Skit)	Exuvia
Contronatura	Exuvia
Eterno Paradosso	Exuvia
Marco e Ludo (Skit)	Exuvia
La Scelta	Exuvia
Azzera Pace	Exuvia
Eyes Wide Shut	Exuvia
Ghost Memo (Skit)	Exuvia
Come Pripyat	Exuvia
Il Mondo Dopo Lewis Carroll	Exuvia
Pi Esse (Skit)	Exuvia
Zeit!	Exuvia
La Certa	Exuvia
Exuvia	Exuvia
Prosopagnosia	Prisoner 709
Prisoner 709	Prisoner 709
La Caduta Di Atlante	Prisoner 709
Forever Jung	Prisoner 709
Confusianesimo	Prisoner 709
Il Testo Che Avrei Voluto Scrivere	Prisoner 709
Una Chiave	Prisoner 709
Ti Fa Stare Bene	Prisoner 709
Migliora La Tua Memoria Con Un Click	Prisoner 709
Larsen	Prisoner 709
Sogno Di Potere	Prisoner 709
L’Uomo Che Premette	Prisoner 709
Minimoog	Prisoner 709
L’Infinto	Prisoner 709
Autoipnotica	Prisoner 709
Prosopagno Sia! (Prisoner 709)	Prisoner 709
Canzone all’entrata	Museica
Avrai ragione tu (Ritratto)	Museica
Mica van Gogh	Museica
Non me lo posso permettere	Museica
Figli d’arte	Museica
Comunque dada	Museica
Giotto beat	Museica
Cover	Museica
China Town	Museica
Canzone a metà	Museica
Teste di modì	Museica
Argenti vive	Museica
Compro horror	Museica
Kitaro	Museica
Troppo politico	Museica
Sfogati	Museica
Fai da tela	Museica
È tardi	Museica
Canzone all’uscita	Museica
Nessun Dorma	Il Sogno Eretico
Tutti Dormano	Il Sogno Eretico
Chi Se Ne Frega Della Musica	Il Sogno Eretico
Il Dito Medio Di Galileo	Il Sogno Eretico
Sono Il Tuo Sogno Eretico	Il Sogno Eretico
Cose Che Non Capisco	Il Sogno Eretico
Goodbye Malinconia	Il Sogno Eretico
La Marchetta Di Popolino	Il Sogno Eretico
La Fine Di Gaia	Il Sogno Eretico
House Credibility	Il Sogno Eretico
Kevin Spacey	Il Sogno Eretico
Legalize the Premier	Il Sogno Eretico
Messa In Moto	Il Sogno Eretico
Non Siete Stato Voi	Il Sogno Eretico
La Ghigliottina	Il Sogno Eretico
Ti Sorrido Mentre Affogo	Il Sogno Eretico
L’Ottavo, Capitolo	Il Sogno Eretico
La Rivoluzione Del Sessintutto	Le Dimensioni Del Mio Caos
Ulisse (You Listen)	Le Dimensioni Del Mio Caos
Non Mettere Le Mani In Tasca	Le Dimensioni Del Mio Caos
Pimpami La Storia	Le Dimensioni Del Mio Caos
Ilaria Condizionata	Le Dimensioni Del Mio Caos
La Grande Opera	Le Dimensioni Del Mio Caos
Vieni A Ballare In Puglia	Le Dimensioni Del Mio Caos
Abiura Di Me	Le Dimensioni Del Mio Caos
Cacca Nello Spazio	Le Dimensioni Del Mio Caos
Il Circo Delle Pantegane	Le Dimensioni Del Mio Caos
Un Vero Uomo Dovrebbe Lavare I Piatti	Le Dimensioni Del Mio Caos
Io Diventerò Qualcuno	Le Dimensioni Del Mio Caos
Eroe (Storia di Luigi Delle Bicocche)	Le Dimensioni Del Mio Caos
Bonobo Power	Le Dimensioni Del Mio Caos
Mors mea tacci tua	Habemus Capa
Annunciatemi al pubblico	Habemus Capa
Torna catalessi	Habemus Capa
Gli insetti del podere	Habemus Capa
Dalla parte del toro	Habemus Capa
Ninna nanna di mazzarò	Habemus Capa
Il silenzio dei colpevoli	Habemus Capa
Profilo psichico	Habemus Capa
La mia parte intollerante	Habemus Capa
Inno verdano	Habemus Capa
Epocalisse	Habemus Capa
The auditels family	Habemus Capa
Ti giri	Habemus Capa
Titoli	Habemus Capa
Felici ma trimoni	Habemus Capa
Sssaasss	Habemus Capa
Sono troppo stitico	Habemus Capa
Habemus Capa	Habemus Capa
La mia parte intollerante (Boosta Remix)	Habemus Capa
Il secondo secondo me	Verità Supposte
Nessuna razza	Verità Supposte
La legge dell’ortica	Verità Supposte
Stango e sbronzo	Verità Supposte
Limiti	Verità Supposte
Vengo dalla luna	Verità Supposte
Dagli all’untore	Verità Supposte
Fuori dal tunnel	Verità Supposte
Giuda me	Verità Supposte
Nel paese dei balordi	Verità Supposte
L’età dei figuranti	Verità Supposte
Follie preferenziali	Verità Supposte
Dualismi	Verità Supposte
Jodellavitanonhocapitouncazzo	Verità Supposte
La sindrome di Lorena	Verità Supposte
Intro	?!
Mea culpa	?!
Tutto ciò che c’è	?!
Mammamiamamma	?!
La gente originale	?!
Il conflitto	?!
Fuck the Violenza	?!
Ti clonerò	?!
La fitta sassaiola dell’ingiuria	?!
Chi c*zzo me lo	?!
Mi è impossibile	?!
Uomini di molta fede	?!
Cammina solo	?!
Dindalè dindalò	?!